Date,Code,Site,Depth,Taxa,N,LogN,Nkg,LogNkg
06/05/2013,BzM,Bonanza,FR (6-8),41,264,2.422,44,1.6435
06/05/2013,BzD,Bonanza,FR (10-12),50,249,2.396,42,1.618
06/05/2013,BzS,Bonanza,BR,53,1080,3.033,180,2.2553
06/05/2013,JaM,Jardines,FR (6-8),39,131,2.117,22,1.3391
06/05/2013,JaD,Jardines,FR (10-12),30,77,1.886,13,1.1083
06/05/2013,JaS,Jardines,BR,63,314,2.497,52,1.7188
06/05/2013,BoM,Bocana,FR (6-8),15,74,1.869,12,1.0911
06/05/2013,BoD,Bocana,FR (10-12),23,40,1.602,7,0.8239
06/05/2013,BoS,Bocana,BR,31,239,2.378,40,1.6002
06/08/2013,BzM,Bonanza,FR (6-8),38,180,2.255,30,1.4771
06/08/2013,BzD,Bonanza,FR (10-12),24,94,1.973,16,1.195
06/08/2013,BzS,Bonanza,BR,17,103,2.013,17,1.2347
06/08/2013,JaM,Jardines,FR (6-8),24,88,1.944,15,1.1663
06/08/2013,JaD,Jardines,FR (10-12),29,128,2.107,21,1.3291
06/08/2013,JaS,Jardines,BR,49,357,2.553,60,1.7745
06/08/2013,BoM,Bocana,FR (6-8),32,233,2.367,39,1.5892
06/08/2013,BoD,Bocana,FR (10-12),20,66,1.82,11,1.0414
06/08/2013,BoS,Bocana,BR,45,526,2.721,88,1.9428
07/11/2013,BzM,Bonanza,FR (6-8),50,241,2.382,40,1.6039
07/11/2013,BzD,Bonanza,FR (10-12),17,40,1.602,7,0.8239
07/11/2013,BzS,Bonanza,BR,33,372,2.571,62,1.7924
07/11/2013,JaM,Jardines,FR (6-8),33,271,2.433,45,1.6548
07/11/2013,JaD,Jardines,FR (10-12),22,45,1.653,8,0.8751
07/11/2013,JaS,Jardines,BR,21,58,1.763,10,0.9853
07/11/2013,BoM,Bocana,FR (6-8),62,610,2.785,102,2.0072
07/11/2013,BoD,Bocana,FR (10-12),27,64,1.806,11,1.028
07/11/2013,BoS,Bocana,BR,33,415,2.618,69,1.8399
14/01/2014,BzM,Bonanza,FR (6-8),32,162,2.21,27,1.4314
14/01/2014,BzD,Bonanza,FR (10-12),49,151,2.179,25,1.4008
14/01/2014,BzS,Bonanza,BR,26,64,1.806,11,1.028
14/01/2014,JaM,Jardines,FR (6-8),35,143,2.155,24,1.3772
14/01/2014,JaD,Jardines,FR (10-12),36,102,2.009,17,1.2304
14/01/2014,JaS,Jardines,BR,46,411,2.614,69,1.8357
14/01/2014,BoM,Bocana,FR (6-8),49,1029,3.012,172,2.2343
14/01/2014,BoD,Bocana,FR (10-12),36,164,2.215,27,1.4367
14/01/2014,BoS,Bocana,BR,52,302,2.48,50,1.7019
